Library,Total LOTE Items,Total Items
Brisbane Square Library,11440,63820
Garden City,10629,52539
Sunnybank Hills,9596,49828
Inala,5420,30969
Mt. Ommaney,3659,37057
Indooroopilly,3470,51440
Chermside,3306,52778
Carindale,2902,39738
New Farm,1750,18681
West End,1575,11777
Toowong,1425,34483
Coopers Plains,969,20388
Zillmere,376,19024
Wynnum,252,33662
Bracken Ridge,133,21277
Mitchelton,84,21205
Hamilton,6,12287
Kenmore,4,33105
Ashgrove,2,32216
Everton Park,2,25931
Holland Park,2,23272
Sandgate,1,10759
Grange,0,23415
Fairfield,0,22644
Bulimba,0,18724
Banyo,0,17414
Nundah,0,17171
Carina,0,17097
Corinda,0,16668
Mt. Gravatt,0,14858
Stones Corner,0,11185
Annerley,0,10731
Mt. Coot-tha,0,6184